EMPID,FIRSTNAME,LASTNAME,STARTDATE,EXITDATE,TITLE,SUPERVISOR,ADEMAIL,BUSINESSUNIT,EMPLOYEESTATUS,EMPLOYEETYPE,PAYZONE,EMPLOYEECLASSIFICATIONTYPE,TERMINATIONTYPE,TERMINATIONDESCRIPTION,DEPARTMENTTYPE,DIVISION,DOB,STATE,JOBFUNCTIONDESCRIPTION,GENDERCODE,LOCATIONCODE,RACEDESC,MARITALDESC,PERFORMANCE_SCORE,CURRENT_EMPLOYEE_RATING
1967,Dawn,Motlagh,0019-01-29,,Production Technician I,Molly Freeman,dawn.motlagh@bilearner.com,PL,Active,Part-Time,Zone A,Part-Time,Unk,,Production,General - Con,11-12-1994,MA,Flagger,Female,2453,Other,Single,Fully Meets,3
2792,Diamond,Mcclain,0023-02-24,,Production Technician I,Robert Nguyen,diamond.mcclain@bilearner.com,NEL,Active,Part-Time,Zone A,Temporary,Unk,,Production,Engineers,10-05-1953,MA,Technician,Male,19908,Black,Single,Fully Meets,1
1077,Derek,Moreno,0019-02-02,,Software Engineer,Allison Jacobs,derek.moreno@bilearner.com,TNS,Active,Contract,Zone B,Temporary,Unk,,Software Engineering,Wireless,10-05-1992,MA,Foreman,Female,97585,Black,Single,Fully Meets,3
2399,Brice,Phillips,0023-05-25,0023-07-31,Production Manager,Brian Peters,brice.phillips@bilearner.com,PYZ,Active,Full-Time,Zone B,Part-Time,Retirement,Else big job administration.,Production,Wireline Construction,13-06-1958,MA,Driver,Male,2777,White,Married,Fully Meets,4
3266,Max,Mahoney,0020-07-24,,Production Technician I,Andrew Garcia,max.mahoney@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Unk,,Production,Wireline Construction,23-08-1996,MA,Laborer,Female,22339,Black,Married,Fully Meets,2
1038,Courtney,Cowan,0023-01-18,,Software Engineer,Beth Anderson,courtney.cowan@bilearner.com,SVG,Active,Contract,Zone B,Part-Time,Unk,,Software Engineering,Field Operations,04-05-1971,MA,Crew Leader,Male,14886,Hispanic,Married,Fully Meets,3
3384,Dennis,Hays,0019-03-07,,Production Technician I,Rachel Rice,dennis.hays@bilearner.com,WBL,Active,Full-Time,Zone C,Full-Time,Unk,,Production,Field Operations,18-07-1991,MA,Operator,Female,26286,Hispanic,Married,Fully Meets,3
2645,Breanna,Kerr,0020-07-02,,Area Sales Manager,Nicholas Martinez,breanna.kerr@bilearner.com,TNS,Active,Contract,Zone C,Temporary,Unk,,Sales,Wireline Construction,27-06-1947,TN,Manager,Male,22815,Asian,Married,Fully Meets,4
3742,Gabriel,Pearson,0021-09-22,0023-05-15,Production Technician II,Ryan Anderson,gabriel.pearson@bilearner.com,PYZ,Active,Contract,Zone A,Temporary,Resignation,Wait small thing staff.,Production,Field Operations,12-09-1981,MA,Manager,Female,81011,Asian,Married,Fully Meets,2
2548,Luz,Garza,0018-11-14,0021-07-08,BI Developer,Brittany Johnson,luz.garza@bilearner.com,PYZ,Active,Contract,Zone A,Temporary,Resignation,Win onto effect security instead.,IT/IS,General - Sga,16-02-1954,MA,Manager,Female,70770,Other,Divorced,Fully Meets,1
1227,Hailey,Mckay,0019-08-22,0022-06-06,Production Technician I,Hannah Davis,hailey.mckay@bilearner.com,TNS,Active,Part-Time,Zone C,Part-Time,Voluntary,Relate size according two board.,Production,Billable Consultants,21-03-1987,MA,Engineer,Female,89365,Other,Divorced,Fully Meets,3
3938,Lori,Roby,0020-04-20,,Data Analyst,Brittany Evans,lori.roby@bilearner.com,BPC,Active,Part-Time,Zone B,Temporary,Unk,,IT/IS,Field Operations,28-05-1955,MA,Tower Hand,Female,1886,Hispanic,Married,Fully Meets,3
3076,Omari,Keller,0023-04-26,,Production Technician II,Daniel Smith,omari.keller@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,Unk,,Production,General - Con,26-05-1998,MA,Foreman,Male,3738,White,Married,Fully Meets,5
1526,Ashtyn,Huynh,0021-04-23,,Production Technician I,Seth Parks,ashtyn.huynh@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Unk,,Production,Field Operations,04-04-1987,MA,Foreman,Female,13579,Other,Divorced,Fully Meets,3
2990,Alfredo,Perry,0019-04-21,,Production Technician I,Wesley Pearson,alfredo.perry@bilearner.com,PYZ,Active,Full-Time,Zone C,Part-Time,Unk,,Production,General - Con,28-05-1999,MA,Laborer,Female,64116,White,Single,Fully Meets,2
3542,Ellie,Gill,0023-04-15,,Area Sales Manager,Amanda Knight,ellie.gill@bilearner.com,EW,Active,Contract,Zone A,Temporary,Unk,,Sales,Field Operations,01-03-1948,IN,Manager,Male,45456,White,Married,Needs Improvement,1
1042,Milo,Hood,0022-07-16,,Software Engineer,Cheryl Swanson,milo.hood@bilearner.com,PYZ,Active,Contract,Zone B,Temporary,Unk,,Software Engineering,Field Operations,18-08-1942,MA,Driller,Male,96170,Black,Widowed,Fully Meets,3
1353,Noe,Mann,0020-09-15,0022-01-06,Sr. Network Engineer,Felicia Bailey,noe.mann@bilearner.com,WBL,Active,Part-Time,Zone A,Temporary,Involuntary,Will message south game.,IT/IS,Field Operations,04-03-1946,MA,Supervisor,Male,48891,White,Single,Fully Meets,3
3661,Reagan,Brennan,0022-02-28,0022-09-05,Production Technician I,Denise Roman,reagan.brennan@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Involuntary,Decide group difference decide.,Production,Executive,22-05-1952,MA,Vp,Male,21624,Asian,Married,Fully Meets,3
2220,Lilah,Harrison,0022-09-17,,IT Support,Charles Johnson,lilah.harrison@bilearner.com,EW,Active,Contract,Zone B,Temporary,Unk,,IT/IS,General - Eng,03-09-1961,MA,Engineer,Female,30879,Asian,Married,Exceeds,4
2409,Kaitlin,Cooke,0020-02-06,,Data Analyst,Robert Wilson,kaitlin.cooke@bilearner.com,TNS,Active,Full-Time,Zone B,Full-Time,Unk,,IT/IS,Engineers,30-10-1996,MA,Program Manager,Female,91289,White,Single,Fully Meets,4
1797,Clara,Wheeler,0020-10-13,0022-11-09,Production Technician I,Jennifer Harrington,clara.wheeler@bilearner.com,NEL,Active,Full-Time,Zone A,Full-Time,Voluntary,Us do by over. Source today then between.,Production,General - Con,18-09-1987,MA,Laborer,Female,63255,Hispanic,Widowed,Fully Meets,3
3300,Rosemary,Becker,0021-03-25,0022-05-08,Production Technician II,Mr. Gregory Mullins MD,rosemary.becker@bilearner.com,NEL,Active,Full-Time,Zone B,Part-Time,Resignation,Artist message call such.,Production,Field Operations,27-11-1946,MA,Technician,Male,73771,White,Married,Fully Meets,2
2646,Saniya,Ho,0019-08-04,,Area Sales Manager,Cathy Whitehead,saniya.ho@bilearner.com,PYZ,Active,Contract,Zone A,Part-Time,Unk,,Sales,Project Management - Con,17-06-2001,ID,Manager,Male,87653,Black,Widowed,Fully Meets,1
2778,Javon,Mckenzie,0020-12-02,,Production Technician I,Raymond Burton,javon.mckenzie@bilearner.com,WBL,Active,Part-Time,Zone C,Temporary,Unk,,Production,Wireless,28-02-1955,MA,Foreman,Male,33896,Asian,Divorced,Fully Meets,5
2567,Sylvia,Price,0022-12-22,0023-07-26,IT Manager - Infra,Christy Cunningham,sylvia.price@bilearner.com,CCDR,Active,Full-Time,Zone B,Part-Time,Voluntary,Dream quickly relationship involve enough name.,IT/IS,Field Operations,15-10-1959,MA,Foreman,Male,51819,Black,Widowed,Fully Meets,5
1402,Linda,Bachiochi,0021-09-10,,Production Technician I,Kirk Brooks,linda.bachiochi@bilearner.com,MSC,Active,Full-Time,Zone B,Full-Time,Unk,,Production,General - Sga,12-10-1988,MA,Technician,Female,1902,White,Divorced,Exceeds,3
3494,Cohen,Raymond,0020-06-18,,Area Sales Manager,Jacob Snyder,cohen.raymond@bilearner.com,SVG,Active,Contract,Zone B,Full-Time,Unk,,Sales,General - Con,08-02-1994,CO,Technician,Male,90983,Black,Single,Fully Meets,4
3558,Mildred,Gentry,0018-12-30,,Production Technician I,Erin Moore,mildred.gentry@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Production,Yard (Material Handling),04-06-1959,MA,Manager,Female,2145,Black,Single,Fully Meets,1
3884,Gilberto,Macdonald,0019-02-02,,IT Support,Barbara Skinner,gilberto.macdonald@bilearner.com,CCDR,Active,Full-Time,Zone B,Temporary,Unk,,IT/IS,Engineers,27-04-1987,MA,Engineer,Female,96985,Black,Widowed,Fully Meets,3
2503,Ally,Goodman,0021-12-26,0022-01-29,IT Manager - DB,Sean Wong,ally.goodman@bilearner.com,PL,Active,Contract,Zone C,Temporary,Voluntary,Determine yes action college.,IT/IS,General - Con,23-12-1949,MA,Clerk,Male,6113,White,Married,Fully Meets,5
2008,Kaila,Johnston,0019-07-15,0020-01-13,Production Technician I,Michelle Taylor,kaila.johnston@bilearner.com,BPC,Active,Part-Time,Zone A,Temporary,Voluntary,Follow yourself child to foot.,Production,Field Operations,03-09-1941,MA,Lineman,Female,67443,Asian,Widowed,Fully Meets,3
3991,Talan,Rodgers,0023-04-10,,Sr. Accountant,Ashley Cervantes,talan.rodgers@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Unk,,IT/IS,Project Management - Con,09-03-1974,MA,Coordinator,Male,89576,Black,Single,Fully Meets,3
2861,Judith,Savage,0018-10-06,,Production Technician I,Sharon Jones,judith.savage@bilearner.com,MSC,Active,Full-Time,Zone C,Full-Time,Unk,,Production,General - Con,13-07-1986,MA,Technician,Male,31403,White,Widowed,Fully Meets,2
2598,Yesenia,Payne,0020-01-08,,Area Sales Manager,Brian Scott,yesenia.payne@bilearner.com,PL,Active,Part-Time,Zone A,Temporary,Unk,,Sales,General - Con,05-09-1964,ID,Splicer,Male,8573,Asian,Divorced,Fully Meets,4
1338,Rogelio,Flores,0020-09-30,,Sr. Network Engineer,Stephen Ray,rogelio.flores@bilearner.com,BPC,Active,Contract,Zone C,Part-Time,Unk,,Admin Offices,Shop (Fleet),14-03-1988,MA,Mechanic,Male,90987,Other,Widowed,Fully Meets,3
2636,Gwendolyn,Hogan,0018-09-13,0020-11-04,Area Sales Manager,Jason Hayes,gwendolyn.hogan@bilearner.com,PYZ,Active,Full-Time,Zone B,Temporary,Resignation,Almost across fly recent go.,Sales,General - Eng,20-11-1970,MA,Technician,Male,12113,Asian,Married,Fully Meets,5
3160,Baylee,Warner,0019-03-06,,Production Technician II,Madeline Henderson,baylee.warner@bilearner.com,NEL,Active,Full-Time,Zone A,Part-Time,Unk,,Production,Splicing,18-04-1951,MA,Splicer,Female,69293,Other,Single,Exceeds,4
1254,Alyvia,Sellers,0020-06-22,,Production Technician II,Tracy Ramos,alyvia.sellers@bilearner.com,WBL,Active,Contract,Zone B,Full-Time,Unk,,Production,General - Con,07-06-1950,MA,Groundman,Female,87263,White,Married,Fully Meets,3
2991,Skyler,Drake,0020-03-13,,Production Technician I,Daniel Rowe,skyler.drake@bilearner.com,WBL,Active,Contract,Zone A,Full-Time,Unk,,Production,General - Con,17-03-1999,MA,Technician,Female,5676,White,Single,Exceeds,2
1486,Soren,Merritt,0019-03-07,,Production Technician I,Christopher Smith,soren.merritt@bilearner.com,BPC,Active,Part-Time,Zone A,Full-Time,Unk,,Production,Engineers,13-05-1999,MA,Engineer,Female,53726,Hispanic,Divorced,Fully Meets,3
1050,Steven,Schneider,0020-11-23,,Software Engineer,Jerry Suarez,steven.schneider@bilearner.com,TNS,Active,Contract,Zone B,Temporary,Unk,,Software Engineering,Finance & Accounting,04-07-1993,MA,Accounting,Male,64114,Black,Widowed,Fully Meets,3
2657,Trace,Brandt,0021-11-23,0022-07-20,Area Sales Manager,Jeffrey Hodge,trace.brandt@bilearner.com,BPC,Active,Contract,Zone B,Temporary,Voluntary,Decision decade approach.,Sales,Isp,06-06-1995,AZ,Manager,Male,27097,White,Widowed,Fully Meets,2
3479,Sarai,Stone,0022-08-02,0023-04-02,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Somebody great could yet.,Sales,Project Management - Con,17-05-1962,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2
1092,Sophia,Theamstern,0022-07-12,,Production Technician I,Martin Jackson,sophia.theamstern@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,Unk,,Production,Field Operations,27-01-1970,MA,Clerk,Female,2066,Hispanic,Divorced,Fully Meets,3
2407,Lamont,Prince,0019-10-06,0023-04-14,Data Analyst,Gary Gray,lamont.prince@bilearner.com,EW,Active,Full-Time,Zone C,Temporary,Involuntary,Throughout thank respond direction.,Production,Finance & Accounting,17-04-1953,MA,Clerk,Male,47723,Other,Widowed,Fully Meets,4
1746,Brad,Pitt,0020-04-23,0022-01-07,Production Technician I,Joshua Gonzalez,brad.pitt@bilearner.com,WBL,Active,Full-Time,Zone A,Full-Time,Voluntary,Them security hit decide.,Production,General - Sga,06-04-1962,MA,Vp,Male,2451,Hispanic,Widowed,Fully Meets,3
2246,Britney,Logan,0020-10-14,0022-04-10,IT Manager - DB,Paul Robertson,britney.logan@bilearner.com,NEL,Active,Contract,Zone B,Part-Time,Resignation,Expect kitchen even anyone. Without agent she.,IT/IS,Field Operations,22-11-1973,MA,Technician,Male,7728,White,Divorced,Fully Meets,4
2425,Alexzander,Guzman,0022-06-19,0023-05-20,Director of Operations,David Patel,alexzander.guzman@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,Resignation,And even room after establish. Me single stage.,Production,Wireline Construction,15-06-1982,MA,Driver,Male,61895,Asian,Divorced,Fully Meets,2
1891,William,Douglas,0020-03-25,,Production Technician I,Wendy Elliott,william.douglas@bilearner.com,NEL,Active,Full-Time,Zone C,Full-Time,Unk,,Production,Aerial,24-06-1946,MA,Labor,Female,6790,Hispanic,Married,Fully Meets,3
3957,Makaila,Nixon,0022-01-03,,Database Administrator,Rose Conner,makaila.nixon@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Unk,,IT/IS,Field Operations,02-01-1991,TX,Administration,Female,36554,Other,Divorced,Fully Meets,3
1775,Julie,Cochran,0018-10-06,0019-12-12,Production Technician I,Scott Smith,julie.cochran@bilearner.com,TNS,Active,Contract,Zone A,Full-Time,Involuntary,Sing participant involve themselves plan.,Production,Engineers,11-05-1997,MA,Engineer,Male,23434,Black,Single,Fully Meets,3
2433,Darryl,Wiley,0020-04-22,0022-08-03,Production Manager,Edwin Freeman,darryl.wiley@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Retirement,Game play arm argue blood try here.,Production,Engineers,30-08-1976,MA,Project Manager,Male,28492,White,Widowed,Fully Meets,1
3976,Kinsley,Braun,0021-10-22,,Sr. DBA,Curtis Mathis,kinsley.braun@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Unk,,IT/IS,Field Operations,17-11-1991,MA,Laborer,Female,24094,White,Divorced,Fully Meets,3
1104,Sean,Bernstein,0019-06-16,,Production Technician I,Matthew West,sean.bernstein@bilearner.com,PYZ,Active,Part-Time,Zone C,Temporary,Unk,,Production,General - Eng,14-09-1995,MA,Supervisor,Male,2072,Asian,Divorced,Fully Meets,3
2892,Laila,Wiggins,0021-04-10,0022-11-01,Production Technician I,Gregory Lee,laila.wiggins@bilearner.com,WBL,Active,Contract,Zone A,Full-Time,Resignation,Sure truth clear father experience can.,Production,Catv,06-12-1960,MA,Lineman,Male,26250,Hispanic,Divorced,Fully Meets,2
3132,Ximena,Suarez,0020-04-27,0022-10-18,Production Technician I,Brian Gregory,ximena.suarez@bilearner.com,EW,Active,Full-Time,Zone A,Full-Time,Involuntary,Program personal mean life source reach.,Production,Field Operations,20-09-1979,MA,Laborer,Female,12694,Asian,Divorced,Fully Meets,4
2073,Armani,Barker,0023-03-03,0023-08-06,Production Technician II,Daniel Lee,armani.barker@bilearner.com,PYZ,Active,Part-Time,Zone B,Full-Time,Involuntary,Drug remain total marriage ago raise.,Production,Field Operations,18-07-1956,MA,Manager,Female,52861,Hispanic,Single,Fully Meets,3
1213,Tamia,Sharp,0020-02-23,,Production Technician II,Joe Miller,tamia.sharp@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Production,Project Management - Con,22-03-1987,MA,Coordinator,Female,41849,White,Married,Fully Meets,3
3104,Ashton,Winters,0022-05-29,,Production Technician I,Matthew Smith,ashton.winters@bilearner.com,PYZ,Active,Contract,Zone C,Part-Time,Unk,,Production,General - Con,14-01-1944,MA,Technician,Female,71716,Black,Married,Fully Meets,2
3056,Lyric,Butler,0022-06-21,,Production Technician I,Brittany Johnson,lyric.butler@bilearner.com,MSC,Active,Part-Time,Zone A,Temporary,Unk,,Production,Wireless,29-10-1943,MA,Manager,Female,56056,Other,Divorced,Fully Meets,5
2020,Angelique,Mathis,0021-05-08,0022-08-05,Production Technician II,Allison Fox,angelique.mathis@bilearner.com,TNS,Active,Part-Time,Zone A,Full-Time,Involuntary,Law safe yard market likely wife case action.,Production,Wireline Construction,14-02-1946,MA,Billing,Female,47869,Black,Widowed,Fully Meets,3
3539,Chaz,Bruce,0019-12-08,,Area Sales Manager,John Johnson,chaz.bruce@bilearner.com,BPC,Active,Full-Time,Zone C,Temporary,Unk,,Sales,General - Con,27-11-1983,CO,Foreman,Male,74448,Hispanic,Single,Fully Meets,5
3837,Mia,Cowan,0022-10-02,0022-11-13,IT Support,Thomas Weaver,mia.cowan@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Resignation,Often my different just.,IT/IS,Finance & Accounting,27-08-1956,MA,Administrative,Male,72879,Other,Single,PIP,3
2750,Patrick,Moran,0022-06-04,,Production Technician II,Timothy Roman,patrick.moran@bilearner.com,TNS,Active,Full-Time,Zone B,Full-Time,Unk,,Production,Field Operations,03-04-1949,MA,Laborer,Male,2127,Asian,Divorced,Fully Meets,4
3319,Madelynn,Murillo,0019-10-09,,Production Technician II,Bradley Snyder,madelynn.murillo@bilearner.com,NEL,Active,Full-Time,Zone B,Temporary,Unk,,Production,Field Operations,25-01-1963,MA,Laborer,Female,34874,Hispanic,Married,Fully Meets,3
3257,Sanaa,Reilly,0020-11-19,,Production Technician II,Jeffrey Terry,sanaa.reilly@bilearner.com,PL,Active,Full-Time,Zone A,Full-Time,Unk,,Production,Wireline Construction,10-04-1986,MA,Laborer,Female,89893,Other,Single,Fully Meets,3
1377,Larissa,Douglas,0021-03-03,0021-07-10,Administrative Assistant,Harry Ellis,larissa.douglas@bilearner.com,SVG,Active,Part-Time,Zone A,Full-Time,Resignation,Current budget certain interview increase.,Admin Offices,General - Con,18-05-1968,MA,Technician,Female,67773,White,Divorced,Exceeds,3
1396,Shari,Ngodup,0019-05-04,0021-02-15,Production Technician I,Jorge Taylor,shari.ngodup@bilearner.com,SVG,Active,Part-Time,Zone A,Full-Time,Resignation,Vote look produce consider Mr war.,Production,General - Eng,07-09-1956,MA,Engineer,Female,1810,Hispanic,Married,Exceeds,3
3810,Ann,Daniele,0020-02-16,,Sr. Network Engineer,Thomas Wilson,ann.daniele@bilearner.com,PL,Active,Full-Time,Zone A,Temporary,Unk,,IT/IS,General - Sga,10-10-1959,CT,Administrator,Female,6033,Black,Single,Fully Meets,3
2640,Magdalena,Whitehead,0021-08-28,0022-09-06,Area Sales Manager,Jacob Perez,magdalena.whitehead@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Voluntary,Company set policy drop become single.,Sales,Wireline Construction,06-11-1962,AZ,Foreman,Male,9642,Black,Single,Fully Meets,4
2457,George,Meyers,0018-08-24,,Production Manager,David Fox,george.meyers@bilearner.com,PL,Active,Part-Time,Zone A,Part-Time,Unk,,Production,Field Operations,14-04-1961,MA,Groundman,Male,82947,Hispanic,Single,Fully Meets,2
1573,Ryann,Tapia,0021-03-17,,Production Technician I,Kim Mcintyre,ryann.tapia@bilearner.com,CCDR,Active,Contract,Zone A,Part-Time,Unk,,Production,Shop (Fleet),19-01-1985,MA,Manager,Female,21985,Other,Widowed,Fully Meets,3
2403,Ellis,Maldonado,0020-08-06,0022-07-29,Production Manager,Michael Hayes,ellis.maldonado@bilearner.com,BPC,Active,Full-Time,Zone C,Temporary,Retirement,Each himself anything you.,Production,Finance & Accounting,22-03-1958,MA,Administrative,Female,48453,Hispanic,Married,Fully Meets,4
2763,Paula,Gross,0019-10-19,,Production Technician I,Katelyn Coleman,paula.gross@bilearner.com,NEL,Active,Part-Time,Zone C,Full-Time,Unk,,Production,Field Operations,18-05-1991,MA,Construction Manager,Female,2176,Hispanic,Single,Fully Meets,2
3421,Brenden,Leach,0022-05-09,0022-09-08,Production Technician I,Donna Lawson,brenden.leach@bilearner.com,PL,Active,Part-Time,Zone A,Part-Time,Retirement,Man the newspaper performance.,Production,Wireless,11-06-1959,MA,Foreman,Female,57340,Other,Divorced,Fully Meets,1
2039,Carson,Pennington,0022-04-22,,Production Technician I,Andrea Riley,carson.pennington@bilearner.com,TNS,Active,Full-Time,Zone B,Full-Time,Unk,,Production,Field Operations,04-10-1957,MA,Operator,Female,29345,White,Single,Fully Meets,3
3640,Kale,House,0023-01-07,,Production Technician I,Gina Leon,kale.house@bilearner.com,SVG,Active,Contract,Zone A,Temporary,Unk,,Production,Field Operations,21-09-2000,MA,Foreman,Female,48077,Asian,Divorced,Fully Meets,3
1655,Chloe,Gould,0023-07-18,,Area Sales Manager,Lisa Thompson,chloe.gould@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Unk,,IT/IS,Wireline Construction,01-09-1942,MA,Project Manager,Male,3563,Black,Married,Fully Meets,3
2934,Triston,Ewing,0021-10-24,0022-08-29,Production Technician I,Diana Stewart,triston.ewing@bilearner.com,WBL,Active,Contract,Zone B,Temporary,Resignation,Ball total direction school.,Production,Field Operations,14-11-1963,MA,Laborer,Male,63659,Asian,Widowed,Fully Meets,2
1427,Jean,Duffy,0019-02-22,,Production Technician II,Barry Payne,jean.duffy@bilearner.com,CCDR,Active,Full-Time,Zone A,Part-Time,Unk,,Production,Engineers,09-05-1953,MA,Project Manager,Male,96208,Asian,Divorced,Needs Improvement,3
3142,Ingrid,Wilkins,0021-02-10,,Production Technician I,Theresa Foster,ingrid.wilkins@bilearner.com,CCDR,Active,Full-Time,Zone B,Part-Time,Unk,,Production,General - Con,20-07-1949,MA,Flagger,Female,49701,White,Single,Fully Meets,4
2953,Cannon,Morgan,0019-11-05,,Production Technician I,Nicole Henderson,cannon.morgan@bilearner.com,TNS,Active,Full-Time,Zone B,Full-Time,Unk,,Production,Field Operations,19-03-1957,MA,Technician,Male,95723,Other,Widowed,Fully Meets,5
2682,Keagan,Hutchinson,0020-07-28,,Area Sales Manager,Zachary Ortiz,keagan.hutchinson@bilearner.com,NEL,Active,Contract,Zone A,Temporary,Unk,,Sales,Field Operations,05-06-1976,NY,Supervisor,Male,73798,Asian,Widowed,Fully Meets,2
3174,Roy,Pratt,0022-10-12,0023-07-03,Production Technician I,Tracy Warner,roy.pratt@bilearner.com,BPC,Active,Full-Time,Zone C,Part-Time,Involuntary,Only something seven relate leg however.,Production,Catv,13-06-1961,MA,Foreman,Female,59255,Hispanic,Single,Fully Meets,5
